English Sentence,Chinese Translation,Hindi Translation,Spanish Translation,French Translation,Arabic Translation,Russian Translation,Japanese Translation
Describe the image concisely.,简洁地描述图像。,छवि का संक्षेप में वर्णन करें।,Describe la imagen de forma concisa.,Décrivez l'image de manière concise.,صف الصورة بإيجاز.,Кратко опишите изображение.,画像を簡潔に説明します。
Give a brief description of the image.,对图片进行简要描述。,छवि का संक्षिप्त विवरण दें।,Da una breve descripción de la imagen.,Donnez une brève description de l’image.,أعط وصفًا موجزًا للصورة.,Дайте краткое описание изображения.,画像の簡単な説明を入力します。
Give a short and clear explanation of the subsequent image.,对后续图片做一个简短且清晰的解释。,निम्नलिखित छवि का एक संक्षिप्त और स्पष्ट विवरण प्रदान करें।,Dé una explicación breve y clara de la imagen siguiente.,Donnez une explication courte et claire de l’image suivante.,قدم شرحًا قصيرًا وواضحًا للصورة التالية.,Дайте короткое и четкое объяснение последующего изображения.,その後の画像について短く明確に説明します。
Present a compact description of the photo's key features.,简要描述照片的主要特征。,फोटो की मुख्य विशेषताओं का एक संक्षिप्त विवरण प्रस्तुत करें।,Presente una descripción compacta de las características clave de la fotografía.,Présentez une description compacte des principales caractéristiques de la photo.,قدم وصفًا مختصرًا للميزات الرئيسية للصورة.,Представьте компактное описание основных особенностей фотографии.,写真の主な特徴を簡潔に説明します。
Provide a brief description of the given image.,对给定的图像提供简短描述。,दी गई छवि का संक्षिप्त विवरण प्रदान करें।,Proporcione una breve descripción de la imagen dada.,Fournissez une brève description de l’image donnée.,قدم وصفًا موجزًا للصورة المقدمة.,Дайте краткое описание данного изображения.,指定された画像の簡単な説明を入力します。
Render a clear and concise summary of the photo.,对照片进行清晰简洁的总结。,फोटो का स्पष्ट और संक्षिप्त सारांश प्रस्तुत करें।,Haz un resumen claro y conciso de la foto.,Rendre un résumé clair et concis de la photo.,قدم ملخصًا واضحًا وموجزًا للصورة.,Представьте четкое и краткое описание фотографии.,写真の明確かつ簡潔な要約をレンダリングします。
Share a concise interpretation of the image provided.,分享对所提供图像的简明解释。,प्रदान की गई छवि की संक्षिप्त व्याख्या साझा करें।,Comparta una interpretación concisa de la imagen proporcionada.,Partagez une interprétation concise de l’image fournie.,شارك تفسيرًا موجزًا للصورة المقدمة.,Поделитесь краткой интерпретацией предоставленного изображения.,提供された画像の簡潔な解釈を共有します。
Summarize the visual content of the image.,总结图像的视觉内容。,छवि की दृश्य सामग्री का सारांश प्रस्तुत करें।,Resume el contenido visual de la imagen.,Résumez le contenu visuel de l’image.,لخص المحتوى المرئي للصورة.,Обобщить визуальное содержание изображения.,画像の視覚的な内容を要約します。
What is in the photo?,照片里有什么？,फोटो में क्या है?,¿Qué hay en la foto?,Qu'y a-t-il sur la photo ?,ماذا يوجد في الصورة؟,Что на фото?,写真には何が写っていますか？
What is this?,这是什么？,यह क्या है?,¿Qué es esto?,Qu'est-ce que c'est?,ما هذا؟,Что это?,これは何ですか？
Write a terse but informative summary of the picture.,写一篇简洁但内容丰富的图片摘要。,चित्र का संक्षिप्त लेकिन जानकारीपूर्ण सारांश लिखें।,Escribe un resumen conciso pero informativo de la imagen.,Rédigez un résumé concis mais informatif de l’image.,اكتب ملخصًا مقتضبًا ولكنه غني بالمعلومات للصورة.,"Напишите краткое, но информативное изложение изображения.",画像の簡潔だが有益な要約を書きます。